N,p,q
101334,11,101323
101336,3,101333
101338,5,101333
101340,7,101333
101342,19,101323
101344,3,101341
101346,5,101341
101348,7,101341
101350,3,101347
101352,5,101347
101354,7,101347
101356,23,101333
101358,11,101347
101360,13,101347
101362,3,101359
101364,5,101359
101366,3,101363
101368,5,101363
101370,7,101363
101372,13,101359
101374,11,101363
101376,13,101363
101378,19,101359
101380,3,101377
101382,5,101377
101384,7,101377
101386,3,101383
101388,5,101383
101390,7,101383
101392,29,101363
101394,11,101383
101396,13,101383
101398,131,101267
101400,17,101383
101402,3,101399
101404,5,101399
101406,7,101399
101408,31,101377
101410,11,101399
101412,13,101399
101414,3,101411
101416,5,101411
101418,7,101411
101420,37,101383
101422,3,101419
101424,5,101419
101426,7,101419
101428,17,101411
101430,11,101419
101432,3,101429
101434,5,101429
101436,7,101429
101438,19,101419
101440,11,101429
101442,13,101429
101444,61,101383
101446,17,101429
101448,19,101429
101450,31,101419
101452,3,101449
101454,5,101449
101456,7,101449
101458,29,101429
101460,11,101449
101462,13,101449
101464,53,101411
101466,17,101449
101468,19,101449
101470,3,101467
101472,5,101467
101474,7,101467
101476,47,101429
101478,11,101467
101480,3,101477
101482,5,101477
101484,7,101477
101486,3,101483
101488,5,101483
101490,7,101483
101492,3,101489
101494,5,101489
101496,7,101489
101498,31,101467
101500,11,101489
101502,13,101489
101504,3,101501
101506,3,101503
101508,5,101503
101510,7,101503
101512,11,101501
101514,11,101503
101516,3,101513
101518,5,101513
101520,7,101513
101522,19,101503
101524,11,101513
101526,13,101513
101528,61,101467
101530,3,101527
101532,5,101527
101534,3,101531
101536,3,101533
101538,5,101533
101540,3,101537
101542,5,101537
101544,7,101537
101546,13,101533
101548,11,101537
101550,13,101537
101552,19,101533
101554,17,101537
101556,19,101537
101558,31,101527
101560,23,101537
101562,29,101533
101564,3,101561
101566,5,101561
101568,7,101561
101570,37,101533
101572,11,101561
101574,13,101561
101576,3,101573
101578,5,101573
101580,7,101573
101582,79,101503
101584,3,101581
101586,5,101581
101588,7,101581
101590,17,101573
101592,11,101581
101594,13,101581
101596,23,101573
101598,17,101581
101600,19,101581
101602,3,101599
101604,5,101599
101606,3,101603
101608,5,101603
101610,7,101603
101612,13,101599
101614,3,101611
101616,5,101611
101618,7,101611
101620,17,101603
101622,11,101611
101624,13,101611
101626,23,101603
101628,17,101611
101630,3,101627
101632,5,101627
101634,7,101627
101636,37,101599
101638,11,101627
101640,13,101627
101642,31,101611
101644,3,101641
101646,5,101641
101648,7,101641
101650,23,101627
101652,11,101641
101654,13,101641
101656,3,101653
101658,5,101653
101660,7,101653
101662,59,101603
101664,11,101653
101666,3,101663
101668,5,101663
101670,7,101663
101672,19,101653
101674,11,101663
101676,13,101663
101678,37,101641
101680,17,101663
101682,19,101663
101684,3,101681
101686,5,101681
101688,7,101681
101690,37,101653
101692,11,101681
101694,13,101681
101696,3,101693
101698,5,101693
101700,7,101693
101702,61,101641
101704,3,101701
101706,5,101701
101708,7,101701
101710,17,101693
101712,11,101701
101714,13,101701
101716,23,101693
101718,17,101701
101720,19,101701
101722,3,101719
101724,5,101719
101726,3,101723
101728,5,101723
101730,7,101723
101732,13,101719
101734,11,101723
101736,13,101723
101738,19,101719
101740,3,101737
101742,5,101737
101744,3,101741
101746,5,101741
101748,7,101741
101750,3,101747
101752,3,101749
101754,5,101749
101756,7,101749
101758,11,101747
101760,11,101749
101762,13,101749
101764,17,101747
101766,17,101749
101768,19,101749
101770,23,101747
101772,23,101749
101774,3,101771
101776,5,101771
101778,7,101771
101780,31,101749
101782,11,101771
101784,13,101771
101786,37,101749
101788,17,101771
101790,19,101771
101792,3,101789
101794,5,101789
101796,7,101789
101798,61,101737
101800,3,101797
101802,5,101797
101804,7,101797
101806,17,101789
101808,11,101797
101810,3,101807
101812,5,101807
101814,7,101807
101816,19,101797
101818,11,101807
101820,13,101807
101822,73,101749
101824,17,101807
101826,19,101807
101828,31,101797
101830,23,101807
101832,43,101789
101834,37,101797
101836,3,101833
101838,5,101833
101840,3,101837
101842,3,101839
101844,5,101839
101846,7,101839
101848,11,101837
101850,11,101839
101852,13,101839
101854,17,101837
101856,17,101839
101858,19,101839
101860,23,101837
101862,23,101839
101864,31,101833
101866,3,101863
101868,5,101863
101870,7,101863
101872,3,101869
101874,5,101869
101876,3,101873
101878,5,101873
101880,7,101873
101882,3,101879
101884,5,101879
101886,7,101879
101888,19,101869
101890,11,101879
101892,13,101879
101894,3,101891
101896,5,101891
101898,7,101891
101900,31,101869
101902,11,101891
101904,13,101891
101906,37,101869
101908,17,101891
101910,19,101891
101912,43,101869
101914,23,101891
101916,37,101879
101918,79,101839
101920,3,101917
101922,5,101917
101924,3,101921
101926,5,101921
101928,7,101921
101930,13,101917
101932,3,101929
101934,5,101929
101936,7,101929
101938,17,101921
101940,11,101929
101942,3,101939
101944,5,101939
101946,7,101939
101948,19,101929
101950,11,101939
101952,13,101939
101954,37,101917
101956,17,101939
101958,19,101939
101960,3,101957
101962,5,101957
101964,7,101957
101966,3,101963
101968,5,101963
101970,7,101963
101972,43,101929
101974,11,101963
101976,13,101963
101978,61,101917
101980,3,101977
101982,5,101977
101984,7,101977
101986,23,101963
101988,11,101977
101990,3,101987
101992,5,101987
101994,7,101987
101996,19,101977
101998,11,101987
102000,13,101987
102002,3,101999
102004,3,102001
102006,5,102001
102008,7,102001
102010,11,101999
102012,11,102001
102014,13,102001
102016,3,102013
102018,5,102013
102020,7,102013
102022,3,102019
102024,5,102019
102026,3,102023
102028,5,102023
102030,7,102023
102032,13,102019
102034,3,102031
102036,5,102031
102038,7,102031
102040,17,102023
102042,11,102031
102044,13,102031
102046,3,102043
102048,5,102043
102050,7,102043
102052,29,102023
102054,11,102043
102056,13,102043
102058,59,101999
102060,17,102043
102062,3,102059
102064,3,102061
102066,5,102061
102068,7,102061
102070,11,102059
102072,11,102061
102074,3,102071
102076,5,102071
102078,7,102071
102080,3,102077
102082,3,102079
102084,5,102079
102086,7,102079
102088,11,102077
102090,11,102079
102092,13,102079
102094,17,102077
102096,17,102079
102098,19,102079
102100,23,102077
102102,23,102079
102104,3,102101
102106,3,102103
102108,5,102103
102110,3,102107
102112,5,102107
102114,7,102107
102116,13,102103
102118,11,102107
102120,13,102107
102122,19,102103
102124,3,102121
102126,5,102121
102128,7,102121
102130,23,102107
102132,11,102121
102134,13,102121
102136,29,102107
102138,17,102121
102140,19,102121
102142,3,102139
102144,5,102139
102146,7,102139
102148,41,102107
102150,11,102139
102152,3,102149
102154,5,102149
102156,7,102149
102158,19,102139
102160,11,102149
102162,13,102149
102164,3,102161
102166,5,102161
102168,7,102161
102170,31,102139
102172,11,102161
102174,13,102161
102176,37,102139
102178,17,102161
102180,19,102161
102182,43,102139
102184,3,102181
102186,5,102181
102188,7,102181
102190,29,102161
102192,11,102181
102194,3,102191
102196,5,102191
102198,7,102191
102200,3,102197
102202,3,102199
102204,5,102199
102206,3,102203
102208,5,102203
102210,7,102203
102212,13,102199
102214,11,102203
102216,13,102203
102218,19,102199
102220,3,102217
102222,5,102217
102224,7,102217
102226,23,102203
102228,11,102217
102230,13,102217
102232,3,102229
102234,5,102229
102236,3,102233
102238,5,102233
102240,7,102233
102242,13,102229
102244,3,102241
102246,5,102241
102248,7,102241
102250,17,102233
102252,11,102241
102254,3,102251
102256,3,102253
102258,5,102253
102260,7,102253
102262,3,102259
102264,5,102259
102266,7,102259
102268,17,102251
102270,11,102259
102272,13,102259
102274,23,102251
102276,17,102259
102278,19,102259
102280,29,102251
102282,23,102259
102284,31,102253
102286,53,102233
102288,29,102259
102290,31,102259
102292,41,102251
102294,41,102253
102296,3,102293
102298,5,102293
102300,7,102293
102302,3,102299
102304,3,102301
102306,5,102301
102308,7,102301
102310,11,102299
102312,11,102301
102314,13,102301
102316,17,102299
102318,17,102301
102320,3,102317
102322,5,102317
102324,7,102317
102326,67,102259
102328,11,102317
102330,13,102317
102332,3,102329
102334,5,102329
102336,7,102329
102338,37,102301
102340,3,102337
102342,5,102337
102344,7,102337
102346,17,102329
102348,11,102337
102350,13,102337
102352,23,102329
102354,17,102337
102356,19,102337
102358,29,102329
102360,23,102337
102362,3,102359
102364,5,102359
102366,7,102359
102368,31,102337
102370,3,102367
102372,5,102367
102374,7,102367
102376,17,102359
102378,11,102367
102380,13,102367
102382,23,102359
102384,17,102367
102386,19,102367
102388,29,102359
102390,23,102367
102392,139,102253
102394,101,102293
102396,29,102367
102398,31,102367
102400,3,102397
102402,5,102397
102404,7,102397
102406,47,102359
102408,11,102397
102410,3,102407
102412,3,102409
102414,5,102409
102416,7,102409
102418,11,102407
102420,11,102409
102422,13,102409
102424,17,102407
102426,17,102409
102428,19,102409
102430,23,102407
102432,23,102409
102434,37,102397
102436,3,102433
102438,5,102433
102440,3,102437
102442,5,102437
102444,7,102437
102446,13,102433
102448,11,102437
102450,13,102437
102452,19,102433
102454,3,102451
102456,5,102451
102458,7,102451
102460,23,102437
102462,11,102451
