N,p,q
157958,7,157951
157960,29,157931
157962,11,157951
157964,13,157951
157966,59,157907
157968,17,157951
157970,19,157951
157972,41,157931
157974,23,157951
157976,43,157933
157978,47,157931
157980,29,157951
157982,31,157951
157984,53,157931
157986,53,157933
157988,37,157951
157990,59,157931
157992,41,157951
157994,3,157991
157996,5,157991
157998,7,157991
158000,67,157933
158002,3,157999
158004,5,157999
158006,3,158003
158008,5,158003
158010,7,158003
158012,3,158009
158014,5,158009
158016,7,158009
158018,19,157999
158020,3,158017
158022,5,158017
158024,7,158017
158026,17,158009
158028,11,158017
158030,13,158017
158032,3,158029
158034,5,158029
158036,7,158029
158038,29,158009
158040,11,158029
158042,13,158029
158044,41,158003
158046,17,158029
158048,19,158029
158050,3,158047
158052,5,158047
158054,7,158047
158056,47,158009
158058,11,158047
158060,13,158047
158062,53,158009
158064,17,158047
158066,19,158047
158068,59,158009
158070,23,158047
158072,43,158029
158074,3,158071
158076,5,158071
158078,7,158071
158080,3,158077
158082,5,158077
158084,7,158077
158086,83,158003
158088,11,158077
158090,13,158077
158092,83,158009
158094,17,158077
158096,19,158077
158098,89,158009
158100,23,158077
158102,31,158071
158104,101,158003
158106,29,158077
158108,31,158077
158110,101,158009
158112,41,158071
158114,37,158077
158116,3,158113
158118,5,158113
158120,7,158113
158122,113,158009
158124,11,158113
158126,13,158113
158128,137,157991
158130,17,158113
158132,3,158129
158134,5,158129
158136,7,158129
158138,61,158077
158140,11,158129
158142,13,158129
158144,3,158141
158146,3,158143
158148,5,158143
158150,7,158143
158152,11,158141
158154,11,158143
158156,13,158143
158158,17,158141
158160,17,158143
158162,19,158143
158164,3,158161
158166,5,158161
158168,7,158161
158170,29,158141
158172,11,158161
158174,13,158161
158176,47,158129
158178,17,158161
158180,19,158161
158182,41,158141
158184,23,158161
158186,43,158143
158188,47,158141
158190,29,158161
158192,3,158189
158194,5,158189
158196,7,158189
158198,37,158161
158200,11,158189
158202,13,158189
158204,3,158201
158206,5,158201
158208,7,158201
158210,67,158143
158212,3,158209
158214,5,158209
158216,7,158209
158218,17,158201
158220,11,158209
158222,13,158209
158224,23,158201
158226,17,158209
158228,19,158209
158230,3,158227
158232,5,158227
158234,3,158231
158236,3,158233
158238,5,158233
158240,7,158233
158242,11,158231
158244,11,158233
158246,3,158243
158248,5,158243
158250,7,158243
158252,19,158233
158254,11,158243
158256,13,158243
158258,31,158227
158260,17,158243
158262,19,158243
158264,3,158261
158266,5,158261
158268,7,158261
158270,37,158233
158272,3,158269
158274,5,158269
158276,7,158269
158278,17,158261
158280,11,158269
158282,13,158269
158284,23,158261
158286,17,158269
158288,19,158269
158290,29,158261
158292,23,158269
158294,61,158233
158296,3,158293
158298,5,158293
158300,7,158293
158302,41,158261
158304,11,158293
158306,3,158303
158308,5,158303
158310,7,158303
158312,19,158293
158314,11,158303
158316,13,158303
158318,109,158209
158320,17,158303
158322,19,158303
158324,31,158293
158326,23,158303
158328,59,158269
158330,37,158293
158332,3,158329
158334,5,158329
158336,7,158329
158338,107,158231
158340,11,158329
158342,13,158329
158344,3,158341
158346,5,158341
158348,7,158341
158350,47,158303
158352,11,158341
158354,3,158351
158356,5,158351
158358,7,158351
158360,3,158357
158362,3,158359
158364,5,158359
158366,3,158363
158368,5,158363
158370,7,158363
158372,13,158359
158374,3,158371
158376,5,158371
158378,7,158371
158380,17,158363
158382,11,158371
158384,13,158371
158386,23,158363
158388,17,158371
158390,19,158371
158392,29,158363
158394,23,158371
158396,3,158393
158398,5,158393
158400,7,158393
158402,31,158371
158404,11,158393
158406,13,158393
158408,37,158371
158410,3,158407
158412,5,158407
158414,7,158407
158416,23,158393
158418,11,158407
158420,13,158407
158422,3,158419
158424,5,158419
158426,7,158419
158428,71,158357
158430,11,158419
158432,3,158429
158434,5,158429
158436,7,158429
158438,19,158419
158440,11,158429
158442,13,158429
158444,37,158407
158446,3,158443
158448,5,158443
158450,7,158443
158452,3,158449
158454,5,158449
158456,7,158449
158458,29,158429
158460,11,158449
158462,13,158449
158464,71,158393
158466,17,158449
158468,19,158449
158470,41,158429
158472,23,158449
158474,31,158443
158476,47,158429
158478,29,158449
158480,31,158449
158482,53,158429
158484,41,158443
158486,37,158449
158488,59,158429
158490,41,158449
158492,3,158489
158494,5,158489
158496,7,158489
158498,79,158419
158500,11,158489
158502,13,158489
158504,61,158443
158506,17,158489
158508,19,158489
158510,3,158507
158512,5,158507
158514,7,158507
158516,67,158449
158518,11,158507
158520,13,158507
158522,3,158519
158524,5,158519
158526,7,158519
158528,79,158449
158530,3,158527
158532,5,158527
158534,7,158527
158536,17,158519
158538,11,158527
158540,3,158537
158542,5,158537
158544,7,158537
158546,19,158527
158548,11,158537
158550,13,158537
158552,103,158449
158554,3,158551
158556,5,158551
158558,7,158551
158560,23,158537
158562,11,158551
158564,13,158551
158566,3,158563
158568,5,158563
158570,3,158567
158572,5,158567
158574,7,158567
158576,3,158573
158578,5,158573
158580,7,158573
158582,19,158563
158584,3,158581
158586,5,158581
158588,7,158581
158590,17,158573
158592,11,158581
158594,3,158591
158596,5,158591
158598,7,158591
158600,3,158597
158602,5,158597
158604,7,158597
158606,43,158563
158608,11,158597
158610,13,158597
158612,31,158581
158614,3,158611
158616,5,158611
158618,7,158611
158620,3,158617
158622,5,158617
158624,3,158621
158626,5,158621
158628,7,158621
158630,13,158617
158632,11,158621
158634,13,158621
158636,3,158633
158638,5,158633
158640,7,158633
158642,31,158611
158644,11,158633
158646,13,158633
158648,31,158617
158650,3,158647
158652,5,158647
158654,7,158647
158656,23,158633
158658,11,158647
158660,3,158657
158662,5,158657
158664,7,158657
158666,3,158663
158668,5,158663
158670,7,158663
158672,61,158611
158674,11,158663
158676,13,158663
158678,31,158647
158680,17,158663
158682,19,158663
158684,37,158647
158686,23,158663
158688,31,158657
158690,43,158647
158692,29,158663
158694,31,158663
158696,79,158617
158698,41,158657
158700,37,158663
158702,3,158699
158704,5,158699
158706,7,158699
158708,61,158647
158710,11,158699
158712,13,158699
158714,67,158647
158716,17,158699
158718,19,158699
158720,73,158647
158722,23,158699
158724,61,158663
158726,79,158647
158728,29,158699
158730,31,158699
158732,151,158581
158734,3,158731
158736,5,158731
158738,7,158731
158740,41,158699
158742,11,158731
158744,13,158731
158746,47,158699
158748,17,158731
158750,3,158747
158752,3,158749
158754,5,158749
158756,7,158749
158758,11,158747
158760,11,158749
158762,3,158759
158764,3,158761
158766,5,158761
158768,7,158761
158770,11,158759
158772,11,158761
158774,3,158771
158776,5,158771
158778,7,158771
158780,3,158777
158782,5,158777
158784,7,158777
158786,37,158749
158788,11,158777
158790,13,158777
158792,31,158761
158794,3,158791
158796,5,158791
158798,7,158791
158800,23,158777
158802,11,158791
158804,13,158791
158806,3,158803
158808,5,158803
158810,7,158803
158812,41,158771
158814,11,158803
158816,13,158803
158818,41,158777
158820,17,158803
158822,19,158803
158824,47,158777
158826,23,158803
158828,37,158791
158830,53,158777
158832,29,158803
158834,31,158803
158836,59,158777
158838,47,158791
158840,37,158803
158842,71,158771
158844,41,158803
158846,3,158843
158848,5,158843
158850,7,158843
158852,3,158849
158854,5,158849
158856,7,158849
158858,67,158791
158860,11,158849
158862,13,158849
158864,61,158803
158866,3,158863
158868,5,158863
158870,3,158867
158872,5,158867
158874,7,158867
158876,13,158863
158878,11,158867
158880,13,158867
158882,19,158863
158884,3,158881
158886,5,158881
158888,7,158881
158890,23,158867
158892,11,158881
158894,13,158881
158896,29,158867
158898,17,158881
158900,19,158881
158902,53,158849
158904,23,158881
158906,43,158863
158908,41,158867
158910,29,158881
158912,3,158909
158914,5,158909
158916,7,158909
158918,37,158881
158920,11,158909
158922,13,158909
158924,43,158881
158926,3,158923
158928,5,158923
158930,3,158927
158932,5,158927
158934,7,158927
158936,13,158923
158938,11,158927
158940,13,158927
158942,19,158923
158944,3,158941
158946,5,158941
158948,7,158941
158950,23,158927
158952,11,158941
158954,13,158941
158956,29,158927
158958,17,158941
158960,19,158941
158962,3,158959
158964,5,158959
158966,7,158959
158968,41,158927
158970,11,158959
158972,13,158959
158974,47,158927
158976,17,158959
158978,19,158959
158980,53,158927
158982,23,158959
158984,3,158981
158986,5,158981
158988,7,158981
158990,31,158959
158992,11,158981
158994,13,158981
158996,3,158993
158998,5,158993
159000,7,158993
159002,43,158959
159004,11,158993
159006,13,158993
159008,67,158941
159010,17,158993
159012,19,158993
159014,73,158941
159016,3,159013
159018,5,159013
159020,3,159017
159022,5,159017
159024,7,159017
159026,3,159023
159028,5,159023
159030,7,159023
159032,19,159013
159034,11,159023
159036,13,159023
159038,79,158959
159040,17,159023
159042,19,159023
159044,31,159013
159046,23,159023
159048,31,159017
159050,37,159013
159052,29,159023
159054,31,159023
159056,43,159013
159058,41,159017
159060,37,159023
159062,3,159059
159064,5,159059
159066,7,159059
159068,109,158959
159070,11,159059
159072,13,159059
159074,61,159013
159076,3,159073
159078,5,159073
159080,7,159073
159082,3,159079
159084,5,159079
159086,7,159079
159088,29,159059
159090,11,159079
159092,13,159079
159094,71,159023
159096,17,159079
159098,19,159079
159100,3,159097
159102,5,159097
159104,7,159097
159106,47,159059
159108,11,159097
159110,13,159097
159112,53,159059
159114,17,159097
159116,3,159113
159118,5,159113
159120,7,159113
159122,3,159119
159124,5,159119
159126,7,159119
159128,31,159097
159130,11,159119
159132,13,159119
159134,37,159097
159136,17,159119
159138,19,159119
159140,43,159097
159142,23,159119
159144,31,159113
159146,67,159079
159148,29,159119
159150,31,159119
159152,73,159079
159154,41,159113
159156,37,159119
159158,61,159097
159160,3,159157
159162,5,159157
159164,3,159161
159166,5,159161
159168,7,159161
159170,3,159167
159172,3,159169
159174,5,159169
159176,7,159169
159178,11,159167
159180,11,159169
159182,3,159179
159184,5,159179
159186,7,159179
159188,19,159169
159190,11,159179
159192,13,159179
159194,3,159191
159196,3,159193
159198,5,159193
159200,7,159193
159202,3,159199
159204,5,159199
159206,7,159199
159208,17,159191
159210,11,159199
159212,3,159209
159214,5,159209
159216,7,159209
159218,19,159199
159220,11,159209
159222,13,159209
159224,31,159193
159226,3,159223
159228,5,159223
159230,3,159227
159232,5,159227
159234,7,159227
159236,3,159233
159238,5,159233
159240,7,159233
159242,19,159223
159244,11,159233
159246,13,159233
159248,79,159169
159250,17,159233
159252,19,159233
159254,31,159223
159256,23,159233
159258,31,159227
159260,37,159223
159262,29,159233
159264,31,159233
159266,43,159223
159268,41,159227
159270,37,159233
159272,73,159199
159274,41,159233
159276,43,159233
159278,79,159199
159280,47,159233
159282,59,159223
159284,61,159223
159286,53,159233
159288,61,159227
159290,3,159287
159292,5,159287
159294,7,159287
159296,3,159293
159298,5,159293
159300,7,159293
159302,79,159223
159304,11,159293
159306,13,159293
159308,109,159199
159310,17,159293
159312,19,159293
159314,3,159311
159316,5,159311
159318,7,159311
159320,97,159223
159322,3,159319
159324,5,159319
159326,7,159319
159328,17,159311
159330,11,159319
159332,13,159319
159334,23,159311
159336,17,159319
159338,19,159319
159340,3,159337
159342,5,159337
159344,7,159337
159346,53,159293
159348,11,159337
159350,3,159347
159352,3,159349
159354,5,159349
159356,7,159349
159358,11,159347
159360,11,159349
159362,13,159349
159364,3,159361
159366,5,159361
159368,7,159361
159370,23,159347
159372,11,159361
159374,13,159361
159376,29,159347
159378,17,159361
159380,19,159361
159382,71,159311
159384,23,159361
159386,37,159349
159388,41,159347
159390,29,159361
159392,3,159389
159394,5,159389
159396,7,159389
159398,37,159361
159400,11,159389
159402,13,159389
159404,43,159361
159406,3,159403
159408,5,159403
159410,3,159407
159412,5,159407
159414,7,159407
159416,13,159403
159418,11,159407
159420,13,159407
159422,19,159403
159424,3,159421
159426,5,159421
159428,7,159421
159430,23,159407
159432,11,159421
159434,3,159431
159436,5,159431
159438,7,159431
159440,3,159437
159442,5,159437
159444,7,159437
159446,43,159403
159448,11,159437
159450,13,159437
159452,31,159421
159454,17,159437
159456,19,159437
159458,37,159421
159460,3,159457
159462,5,159457
159464,7,159457
159466,3,159463
159468,5,159463
159470,7,159463
159472,3,159469
159474,5,159469
159476,3,159473
159478,5,159473
159480,7,159473
159482,13,159469
159484,11,159473
159486,13,159473
159488,19,159469
159490,17,159473
159492,19,159473
159494,3,159491
159496,5,159491
159498,7,159491
159500,31,159469
159502,3,159499
159504,5,159499
159506,3,159503
159508,5,159503
159510,7,159503
159512,13,159499
159514,11,159503
159516,13,159503
159518,19,159499
159520,17,159503
159522,19,159503
159524,3,159521
159526,5,159521
159528,7,159521
159530,31,159499
159532,11,159521
159534,13,159521
159536,37,159499
159538,17,159521
159540,19,159521
159542,3,159539
159544,3,159541
159546,5,159541
159548,7,159541
159550,11,159539
159552,11,159541
159554,13,159541
159556,3,159553
159558,5,159553
159560,7,159553
159562,23,159539
159564,11,159553
159566,3,159563
159568,5,159563
159570,7,159563
159572,3,159569
159574,3,159571
159576,5,159571
159578,7,159571
159580,11,159569
159582,11,159571
159584,13,159571
159586,17,159569
159588,17,159571
159590,19,159571
159592,3,159589
159594,5,159589
159596,7,159589
159598,29,159569
159600,11,159589
159602,13,159589
159604,41,159563
159606,17,159589
159608,19,159589
159610,41,159569
159612,23,159589
159614,43,159571
159616,47,159569
159618,29,159589
159620,3,159617
159622,5,159617
159624,7,159617
159626,3,159623
159628,5,159623
159630,7,159623
159632,3,159629
159634,3,159631
159636,5,159631
159638,7,159631
159640,11,159629
159642,11,159631
159644,13,159631
159646,17,159629
159648,17,159631
159650,19,159631
159652,23,159629
159654,23,159631
159656,67,159589
159658,29,159629
159660,29,159631
159662,31,159631
159664,41,159623
159666,37,159629
159668,37,159631
159670,3,159667
159672,5,159667
159674,3,159671
159676,3,159673
159678,5,159673
159680,7,159673
159682,11,159671
159684,11,159673
159686,3,159683
159688,5,159683
159690,7,159683
159692,19,159673
159694,11,159683
159696,13,159683
159698,31,159667
159700,3,159697
159702,5,159697
159704,3,159701
159706,5,159701
159708,7,159701
159710,3,159707
159712,5,159707
159714,7,159707
159716,19,159697
159718,11,159707
159720,13,159707
159722,151,159571
159724,3,159721
159726,5,159721
159728,7,159721
159730,23,159707
159732,11,159721
159734,13,159721
159736,29,159707
159738,17,159721
159740,3,159737
159742,3,159739
159744,5,159739
159746,7,159739
159748,11,159737
159750,11,159739
159752,13,159739
159754,17,159737
159756,17,159739
159758,19,159739
159760,23,159737
159762,23,159739
159764,43,159721
159766,3,159763
159768,5,159763
159770,7,159763
159772,3,159769
159774,5,159769
159776,3,159773
159778,5,159773
159780,7,159773
159782,3,159779
159784,5,159779
159786,7,159779
159788,19,159769
159790,3,159787
159792,5,159787
159794,3,159791
159796,3,159793
159798,5,159793
159800,7,159793
159802,3,159799
159804,5,159799
159806,7,159799
159808,17,159791
159810,11,159799
159812,13,159799
159814,3,159811
159816,5,159811
159818,7,159811
159820,29,159791
159822,11,159811
159824,13,159811
159826,47,159779
159828,17,159811
159830,19,159811
159832,41,159791
159834,23,159811
159836,3,159833
159838,5,159833
159840,7,159833
159842,3,159839
159844,5,159839
159846,7,159839
159848,37,159811
159850,11,159839
159852,13,159839
159854,43,159811
159856,3,159853
159858,5,159853
159860,3,159857
159862,5,159857
159864,7,159857
159866,13,159853
159868,11,159857
159870,13,159857
159872,3,159869
159874,3,159871
159876,5,159871
159878,7,159871
159880,11,159869
159882,11,159871
159884,13,159871
159886,17,159869
159888,17,159871
159890,19,159871
159892,23,159869
159894,23,159871
159896,43,159853
159898,29,159869
159900,29,159871
159902,3,159899
159904,5,159899
159906,7,159899
159908,37,159871
159910,11,159899
159912,13,159899
159914,3,159911
159916,5,159911
159918,7,159911
159920,67,159853
159922,11,159911
159924,13,159911
159926,73,159853
159928,17,159911
159930,19,159911
159932,61,159871
159934,3,159931
159936,5,159931
159938,7,159931
159940,3,159937
159942,5,159937
159944,7,159937
159946,47,159899
159948,11,159937
159950,13,159937
159952,41,159911
159954,17,159937
159956,19,159937
159958,47,159911
159960,23,159937
159962,31,159931
159964,53,159911
159966,29,159937
159968,31,159937
159970,59,159911
159972,41,159931
159974,37,159937
159976,107,159869
159978,41,159937
159980,3,159977
159982,3,159979
159984,5,159979
159986,7,159979
159988,11,159977
159990,11,159979
159992,13,159979
159994,17,159977
159996,17,159979
159998,19,159979
160000,23,159977
160002,23,159979
160004,3,160001
160006,5,160001
160008,7,160001
160010,31,159979
160012,3,160009
160014,5,160009
160016,7,160009
160018,17,160001
160020,11,160009
160022,3,160019
160024,5,160019
160026,7,160019
160028,19,160009
160030,11,160019
160032,13,160019
160034,3,160031
160036,3,160033
160038,5,160033
160040,7,160033
160042,11,160031
160044,11,160033
160046,13,160033
160048,17,160031
160050,17,160033
160052,3,160049
160054,5,160049
160056,7,160049
160058,79,159979
160060,11,160049
160062,13,160049
160064,31,160033
160066,17,160049
160068,19,160049
160070,37,160033
160072,23,160049
160074,41,160033
160076,3,160073
160078,5,160073
160080,7,160073
160082,3,160079
160084,3,160081
160086,5,160081
160088,7,160081
160090,3,160087
160092,5,160087
160094,3,160091
160096,3,160093
160098,5,160093
160100,7,160093
160102,11,160091
160104,11,160093
160106,13,160093
160108,17,160091
160110,17,160093
160112,19,160093
160114,23,160091
160116,23,160093
160118,31,160087
160120,3,160117
160122,5,160117
160124,7,160117
160126,47,160079
160128,11,160117
160130,13,160117
160132,41,160091
160134,17,160117
160136,19,160117
160138,47,160091
160140,23,160117
160142,61,160081
160144,3,160141
160146,5,160141
160148,7,160141
160150,59,160091
160152,11,160141
160154,13,160141
160156,83,160073
160158,17,160141
160160,19,160141
160162,3,160159
160164,5,160159
160166,3,160163
160168,5,160163
160170,7,160163
160172,3,160169
160174,5,160169
160176,7,160169
160178,19,160159
160180,11,160169
160182,13,160169
160184,43,160141
160186,3,160183
160188,5,160183
160190,7,160183
160192,23,160169
160194,11,160183
160196,13,160183
160198,29,160169
160200,17,160183
160202,19,160183
160204,3,160201
160206,5,160201
160208,7,160201
160210,3,160207
160212,5,160207
160214,7,160207
160216,47,160169
160218,11,160207
160220,3,160217
160222,5,160217
160224,7,160217
160226,19,160207
160228,11,160217
160230,13,160217
160232,31,160201
160234,3,160231
160236,5,160231
160238,7,160231
160240,23,160217
160242,11,160231
160244,13,160231
160246,3,160243
160248,5,160243
160250,7,160243
160252,83,160169
160254,11,160243
160256,3,160253
160258,5,160253
160260,7,160253
160262,19,160243
160264,11,160253
160266,13,160253
160268,37,160231
160270,17,160253
160272,19,160253
160274,31,160243
160276,23,160253
160278,47,160231
160280,37,160243
160282,29,160253
160284,31,160253
160286,43,160243
160288,71,160217
160290,37,160253
160292,61,160231
160294,41,160253
160296,43,160253
160298,67,160231
160300,47,160253
160302,59,160243
160304,61,160243
160306,53,160253
160308,101,160207
160310,67,160243
160312,3,160309
160314,5,160309
160316,3,160313
160318,5,160313
160320,7,160313
160322,3,160319
160324,5,160319
160326,7,160319
160328,19,160309
160330,11,160319
160332,13,160319
160334,103,160231
160336,17,160319
160338,19,160319
160340,31,160309
160342,23,160319
160344,31,160313
160346,3,160343
160348,5,160343
160350,7,160343
160352,43,160309
160354,11,160343
160356,13,160343
160358,127,160231
160360,3,160357
160362,5,160357
160364,7,160357
160366,23,160343
160368,11,160357
160370,3,160367
160372,5,160367
160374,7,160367
160376,3,160373
160378,5,160373
160380,7,160373
160382,73,160309
160384,11,160373
160386,13,160373
160388,31,160357
160390,3,160387
160392,5,160387
160394,7,160387
160396,23,160373
160398,11,160387
160400,3,160397
160402,5,160397
160404,7,160397
160406,3,160403
160408,5,160403
160410,7,160403
160412,3,160409
160414,5,160409
160416,7,160409
160418,31,160387
160420,11,160409
160422,13,160409
160424,37,160387
160426,3,160423
160428,5,160423
160430,7,160423
160432,23,160409
160434,11,160423
160436,13,160423
160438,29,160409
160440,17,160423
160442,19,160423
160444,3,160441
160446,5,160441
160448,7,160441
160450,41,160409
160452,11,160441
160454,13,160441
160456,3,160453
160458,5,160453
160460,7,160453
160462,53,160409
160464,11,160453
160466,13,160453
160468,59,160409
160470,17,160453
160472,19,160453
160474,71,160403
160476,23,160453
160478,37,160441
160480,71,160409
160482,29,160453
160484,3,160481
160486,3,160483
160488,5,160483
160490,7,160483
160492,11,160481
160494,11,160483
160496,13,160483
160498,17,160481
160500,17,160483
160502,3,160499
160504,5,160499
160506,7,160499
160508,67,160441
160510,3,160507
160512,5,160507
160514,7,160507
160516,17,160499
160518,11,160507
160520,13,160507
160522,23,160499
160524,17,160507
160526,19,160507
160528,29,160499
160530,23,160507
160532,79,160453
160534,53,160481
160536,29,160507
160538,31,160507
160540,41,160499
160542,43,160499
160544,3,160541
160546,5,160541
160548,7,160541
160550,43,160507
160552,11,160541
160554,13,160541
160556,3,160553
160558,5,160553
160560,7,160553
160562,79,160483
160564,11,160553
160566,13,160553
160568,61,160507
160570,17,160553
160572,19,160553
160574,67,160507
160576,23,160553
160578,37,160541
160580,73,160507
160582,3,160579
160584,5,160579
160586,3,160583
160588,5,160583
160590,7,160583
160592,13,160579
160594,3,160591
160596,5,160591
160598,7,160591
160600,17,160583
160602,11,160591
160604,13,160591
160606,3,160603
160608,5,160603
160610,7,160603
160612,29,160583
160614,11,160603
160616,13,160603
160618,137,160481
160620,17,160603
160622,3,160619
160624,3,160621
160626,5,160621
160628,7,160621
160630,3,160627
160632,5,160627
160634,7,160627
160636,17,160619
160638,11,160627
160640,3,160637
160642,3,160639
160644,5,160639
160646,7,160639
160648,11,160637
160650,11,160639
160652,3,160649
160654,3,160651
160656,5,160651
160658,7,160651
160660,11,160649
160662,11,160651
160664,13,160651
160666,3,160663
160668,5,160663
160670,7,160663
160672,3,160669
160674,5,160669
160676,7,160669
160678,29,160649
160680,11,160669
160682,13,160669
160684,3,160681
160686,5,160681
160688,7,160681
160690,3,160687
160692,5,160687
160694,7,160687
160696,47,160649
160698,11,160687
160700,3,160697
160702,5,160697
160704,7,160697
160706,19,160687
160708,11,160697
160710,13,160697
160712,3,160709
160714,3,160711
160716,5,160711
160718,7,160711
160720,11,160709
160722,11,160711
160724,13,160711
160726,3,160723
160728,5,160723
160730,7,160723
160732,23,160709
160734,11,160723
160736,13,160723
160738,29,160709
160740,17,160723
160742,3,160739
160744,5,160739
160746,7,160739
160748,37,160711
160750,11,160739
160752,13,160739
160754,3,160751
160756,3,160753
160758,5,160753
160760,3,160757
160762,5,160757
160764,7,160757
160766,13,160753
160768,11,160757
160770,13,160757
160772,19,160753
160774,17,160757
160776,19,160757
160778,67,160711
160780,23,160757
160782,29,160753
160784,3,160781
160786,5,160781
160788,7,160781
160790,37,160753
160792,3,160789
160794,5,160789
160796,7,160789
160798,17,160781
160800,11,160789
160802,13,160789
160804,23,160781
160806,17,160789
160808,19,160789
160810,3,160807
160812,5,160807
160814,7,160807
160816,3,160813
160818,5,160813
160820,3,160817
160822,5,160817
160824,7,160817
160826,13,160813
160828,11,160817
160830,13,160817
160832,3,160829
160834,5,160829
160836,7,160829
160838,31,160807
160840,11,160829
160842,13,160829
160844,3,160841
160846,5,160841
160848,7,160841
160850,37,160813
160852,11,160841
160854,13,160841
160856,43,160813
160858,17,160841
160860,19,160841
160862,73,160789
160864,3,160861
160866,5,160861
160868,7,160861
160870,29,160841
160872,11,160861
160874,13,160861
160876,47,160829
160878,17,160861
160880,3,160877
160882,3,160879
160884,5,160879
160886,3,160883
160888,5,160883
160890,7,160883
160892,13,160879
160894,11,160883
160896,13,160883
160898,19,160879
160900,17,160883
160902,19,160883
160904,43,160861
160906,3,160903
160908,5,160903
160910,3,160907
160912,5,160907
160914,7,160907
160916,13,160903
160918,11,160907
160920,13,160907
160922,19,160903
160924,17,160907
160926,19,160907
160928,67,160861
160930,23,160907
160932,29,160903
160934,31,160903
160936,3,160933
160938,5,160933
160940,7,160933
160942,59,160883
160944,11,160933
160946,13,160933
160948,41,160907
160950,17,160933
160952,19,160933
160954,47,160907
160956,23,160933
160958,79,160879
160960,53,160907
160962,29,160933
160964,31,160933
160966,59,160907
160968,61,160907
160970,3,160967
160972,3,160969
160974,5,160969
160976,7,160969
160978,11,160967
160980,11,160969
160982,13,160969
160984,3,160981
160986,5,160981
160988,7,160981
160990,23,160967
160992,11,160981
160994,13,160981
160996,29,160967
160998,17,160981
161000,3,160997
161002,5,160997
161004,7,160997
161006,37,160969
161008,11,160997
161010,13,160997
161012,3,161009
161014,5,161009
161016,7,161009
161018,37,160981
161020,3,161017
161022,5,161017
161024,7,161017
161026,17,161009
161028,11,161017
161030,13,161017
161032,23,161009
161034,17,161017
161036,3,161033
161038,5,161033
161040,7,161033
161042,3,161039
161044,5,161039
161046,7,161039
161048,31,161017
161050,3,161047
161052,5,161047
161054,7,161047
161056,3,161053
161058,5,161053
161060,7,161053
161062,3,161059
161064,5,161059
161066,7,161059
161068,29,161039
161070,11,161059
161072,13,161059
161074,3,161071
161076,5,161071
161078,7,161071
161080,41,161039
161082,11,161071
161084,13,161071
161086,47,161039
161088,17,161071
161090,3,161087
161092,5,161087
161094,7,161087
161096,3,161093
161098,5,161093
161100,7,161093
161102,31,161071
161104,11,161093
161106,13,161093
161108,37,161071
161110,17,161093
161112,19,161093
161114,43,161071
161116,23,161093
161118,31,161087
161120,61,161059
161122,29,161093
161124,31,161093
161126,3,161123
161128,5,161123
161130,7,161123
161132,61,161071
161134,11,161123
161136,13,161123
161138,67,161071
161140,3,161137
161142,5,161137
161144,3,161141
161146,5,161141
161148,7,161141
161150,13,161137
161152,3,161149
161154,5,161149
161156,7,161149
161158,17,161141
161160,11,161149
161162,3,161159
161164,5,161159
161166,7,161159
161168,19,161149
161170,3,161167
161172,5,161167
161174,7,161167
161176,17,161159
161178,11,161167
161180,13,161167
161182,23,161159
161184,17,161167
161186,19,161167
161188,29,161159
161190,23,161167
161192,43,161149
161194,53,161141
161196,29,161167
161198,31,161167
161200,41,161159
161202,43,161159
161204,3,161201
161206,5,161201
161208,7,161201
161210,43,161167
161212,11,161201
161214,13,161201
161216,67,161149
161218,17,161201
161220,19,161201
161222,73,161149
161224,3,161221
161226,5,161221
161228,7,161221
161230,29,161201
161232,11,161221
161234,13,161221
161236,3,161233
161238,5,161233
161240,3,161237
161242,5,161237
161244,7,161237
161246,13,161233
161248,11,161237
161250,13,161237
161252,19,161233
161254,17,161237
161256,19,161237
161258,37,161221
161260,23,161237
161262,29,161233
161264,31,161233
161266,3,161263
161268,5,161263
161270,3,161267
161272,5,161267
161274,7,161267
161276,13,161263
161278,11,161267
161280,13,161267
161282,19,161263
161284,3,161281
161286,5,161281
161288,7,161281
161290,23,161267
161292,11,161281
161294,13,161281
161296,29,161267
161298,17,161281
161300,19,161281
161302,101,161201
161304,23,161281
161306,3,161303
161308,5,161303
161310,7,161303
161312,3,161309
161314,5,161309
161316,7,161309
161318,37,161281
161320,11,161309
161322,13,161309
161324,43,161281
161326,3,161323
161328,5,161323
161330,7,161323
161332,23,161309
161334,11,161323
161336,3,161333
161338,5,161333
161340,7,161333
161342,3,161339
161344,3,161341
161346,5,161341
161348,7,161341
161350,11,161339
161352,11,161341
161354,13,161341
161356,17,161339
161358,17,161341
161360,19,161341
161362,23,161339
161364,23,161341
161366,3,161363
161368,5,161363
161370,7,161363
161372,31,161341
161374,11,161363
161376,13,161363
161378,37,161341
161380,3,161377
161382,5,161377
161384,7,161377
161386,23,161363
161388,11,161377
161390,3,161387
161392,5,161387
161394,7,161387
161396,19,161377
161398,11,161387
161400,13,161387
161402,61,161341
161404,17,161387
161406,19,161387
161408,31,161377
161410,3,161407
161412,5,161407
161414,3,161411
161416,5,161411
161418,7,161411
161420,13,161407
161422,11,161411
161424,13,161411
161426,19,161407
161428,17,161411
161430,19,161411
161432,109,161323
161434,23,161411
161436,29,161407
161438,31,161407
161440,29,161411
161442,31,161411
161444,37,161407
161446,59,161387
161448,37,161411
161450,43,161407
161452,41,161411
161454,43,161411
