N,sigma_trunc_Q0,sigma_model
1000556,1.3660674670781388,0.0008537101439531882
1000558,1.4947525056195214,0.0009341305663886647
1000560,3.9225011820491615,0.0024513277195204568
1000562,1.327200787832734,0.0008294208031020025
1000564,1.3544646487324998,0.0008464590791567293
1000566,3.16992319204348,0.0019810116629072724
1000568,1.3296044154086828,0.0008309229260156401
1000570,1.7604309799873963,0.0011001636607006079
1000572,2.660427483181753,0.0016626074365873166
1000574,1.3203238032220197,0.0008251231006360079
1000576,1.3205477315612848,0.0008252630424026894
1000578,2.8611403206486345,0.0017880409085765173
1000580,2.114656772764337,0.0013215335123597989
1000582,1.4670261257348909,0.0009168032437394864
1000584,2.8834346476458586,0.0018019735243285408
1000586,1.4083792180897388,0.0008801524478053436
1000588,1.3203238032220197,0.0008251231006360079
1000590,3.5208641398706253,0.0022003286837052236
1000592,1.3836872334844088,0.0008647214400111288
1000594,1.5843876588875812,0.0009901471552057706
1000596,2.6406469021995114,0.0016502457611614707
1000598,1.3203238032220197,0.0008251231006360079
1000600,1.7608308999874087,0.0011004135866881659
1000602,2.6406469021995114,0.0016502457611614707
1000604,1.467070103042515,0.0009168307269162162
1000606,1.3240519897452465,0.0008274529933610252
1000608,3.1708974784026243,0.001981620533382532
1000610,1.978512030164117,0.001236451222791552
1000612,1.3203238032220197,0.0008251231006360079
1000614,2.676269976331775,0.0016725080435731564
1000616,1.4562821123409193,0.0009100888804724796
1000618,1.365912503283777,0.0008536133008862237
1000620,3.7908350424661292,0.0023690442879285957
1000622,1.5843876588875812,0.0009901471552057706
1000624,1.3203238032220197,0.0008251231006360079
1000626,2.934118752018953,0.0018336480463293037
1000628,1.358305393613091,0.0008488593140967431
1000630,1.80045042412855,0.0011251734103960207
1000632,2.667165334532106,0.001666818189119582
1000634,1.3203238032220197,0.0008251231006360079
1000636,1.7289811876956582,0.0010805094288623338
1000638,2.76756774681911,0.0017295636683235627
1000640,1.8264038399278317,0.0011413927369461744
1000642,1.3203238032220197,0.0008251231006360079
1000644,2.68741871826069,0.0016794753378733336
1000646,1.3543416374452117,0.0008463822044881573
1000648,1.4961667545292345,0.0009350143870413
1000650,4.229406126968219,0.0026431248825604338
1000652,1.3347395861297653,0.000834132099384578
1000654,1.4921176407841052,0.0009324839340720695
1000656,2.641006769760792,0.001650470656779695
1000658,1.324286757339298,0.0008275997090111256
1000660,1.7604309799873963,0.0011001636607006079
1000662,2.880861505127602,0.0018003654647541687
1000664,1.6091236373993387,0.0010056056565499708
1000666,1.3203238032220197,0.0008251231006360079
1000668,2.6406469021995114,0.0016502457611614707
1000670,1.958412629968051,0.0012238903044999706
1000672,1.3203238032220197,0.0008251231006360079
1000674,2.778221986349568,0.0017362219283161774
1000676,1.3203238032220197,0.0008251231006360079
1000678,1.584583564459215,0.0009902695844252575
1000680,3.655948595029803,0.0022847483572857987
1000682,1.3203238032220197,0.0008251231006360079
1000684,1.4122966715465863,0.0008826006209996944
1000686,2.6406469021995114,0.0016502457611614707
1000688,1.5418521279252297,0.0009635650023208449
1000690,1.7604309799873963,0.0011001636607006079
1000692,3.728159058398866,0.002329875561149005
1000694,1.3242552575920419,0.000827580023560434
1000696,1.3529903065368702,0.0008455377038085854
1000698,2.6406469021995114,0.0016502457611614707
1000700,1.760630880035375,0.0011002885862279694
1000702,1.358194397630808,0.0008487899482723626
1000704,2.64275166831045,0.0016515611136040558
1000706,1.5843876588875812,0.0009901471552057706
1000708,1.334199740353044,0.0008337947281881589
1000710,3.5210440445197047,0.0022004411133088593
1000712,1.3413440099009286,0.00083825946769126
1000714,1.600789722150288,0.001000397459913696
1000716,2.6738870874383185,0.0016710188810908609
1000718,1.3292845836172782,0.0008307230503497151
1000720,2.113775253666883,0.0013209826158530585
1000722,2.8169435610200244,0.0017604205875205536
1000724,1.3499806346389327,0.0008436568395825046
1000726,1.3203238032220197,0.0008251231006360079
1000728,2.7328284501794284,0.0017078536937799708
1000730,1.961384031435849,0.0012257472520050907
1000732,1.369426686484411,0.0008558094543840506
1000734,3.1688189771491713,0.0019803215948988513
1000736,1.4675003327237761,0.0009170995946346664
1000738,1.3203238032220197,0.0008251231006360079
1000740,3.843794169166963,0.002402140562284727
1000742,1.365912495604319,0.0008536132960870236
1000744,1.3203238032220197,0.0008251231006360079
1000746,2.6950346185746628,0.001684234818287051
1000748,1.6046584903294232,0.001002815207732693
1000750,1.7608614279040904,0.0011004326648031
1000752,2.6406948707320437,0.0016502757386141224
1000754,1.3240569411616747,0.0008274560876989943
1000756,1.4084811514242785,0.0008802161500190343
1000758,2.9972406302225565,0.0018730954301712259
1000760,1.7835634881156746,0.001114620089332519
1000762,1.5843876588875812,0.0009901471552057706
1000764,2.640682877304692,0.0016502682434421504
1000766,1.4670977555441307,0.0009168480080693831
1000768,1.3996600406240989,0.0008747034854160512
1000770,3.5208641398706253,0.0022003286837052236
1000772,1.3379162032043463,0.0008361172943221496
1000774,1.324082475083604,0.0008274720448670634
1000776,3.4145791837466155,0.0021339069678094767
1000778,1.3203238032220197,0.0008251231006360079
1000780,1.9564154372534266,0.0012226421789710382
1000782,2.711295557330648,0.0016943969286518329
1000784,1.3203238032220197,0.0008251231006360079
1000786,1.3203238032220197,0.0008251231006360079
1000788,2.6406469021995114,0.0016502457611614707
1000790,2.336795554053548,0.0014603569127571603
1000792,1.4405345709071915,0.0009002476126081249
1000794,2.6406469021995114,0.0016502457611614707
1000796,1.3203238032220197,0.0008251231006360079
1000798,1.3254059374463687,0.0008282991293789647
1000800,3.5466582187355624,0.0022164484342385004
1000802,1.4670261257348909,0.0009168032437394864
1000804,1.6404432401868914,0.0010251785277651147
1000806,2.7962635543425973,0.0017474968250395537
1000808,1.3203238032220197,0.0008251231006360079
1000810,1.8063671669046353,0.0011288710193713004
1000812,2.6406469021995114,0.0016502457611614707
1000814,1.3369126346560607,0.0008354901242368709
1000816,1.3409495581333082,0.0008380129590206172
1000818,3.533866668398301,0.0022084544833224705
1000820,1.777130039237524,0.0011105995700681018
1000822,1.3832410313453654,0.000864442590465601
1000824,3.1439410455364407,0.001964774381389852
1000826,1.3203238032220197,0.0008251231006360079
1000828,1.3299772534029637,0.0008311559273757044
1000830,3.5784004212876663,0.002236285404932275
1000832,1.5858579213773227,0.0009910659809826928
1000834,1.3203238032220197,0.0008251231006360079
1000836,2.641589474896978,0.0016508348125023693
1000838,1.3329738724736342,0.000833028634368476
1000840,1.7834188955267478,0.0011145297276462319
1000842,2.6406469021995114,0.0016502457611614707
1000844,1.526596240476531,0.0009540309886766876
1000846,1.8064645809681796,0.00112893189731197
1000848,2.742242829382211,0.0017137371155128871
1000850,1.8140622656667356,0.0011336799940597744
1000852,1.3465152856518436,0.000841491204535984
1000854,2.6406469021995114,0.0016502457611614707
1000856,1.3203238032220197,0.0008251231006360079
1000858,1.4083792088538232,0.000880152442033451
1000860,4.226608217934209,0.0026413763574094015
1000862,1.3203238032220197,0.0008251231006360079
1000864,1.3203238032220197,0.0008251231006360079
1000866,2.7321581692410675,0.0017074348084392629
1000868,1.5744279450344376,0.0009839229320599797
1000870,1.9206934236729378,0.001200318065344846
1000872,2.6407907974430285,0.0016503356870487475
1000874,1.5855544539592454,0.000990876332067529
1000876,1.3438202946468467,0.0008398069969735644
1000878,2.667574484631811,0.0016670738833652438
1000880,1.7605908648692588,0.0011002635791517827
1000882,1.3980277610558078,0.0008736834086930485
1000884,2.6406469021995114,0.0016502457611614707
1000886,1.3203238032220197,0.0008251231006360079
1000888,1.6167296951341834,0.0010103589859427123
1000890,3.9237955818837356,0.002452136641697244
1000892,1.4486132353500463,0.0009052962928165853
1000894,1.3357988087832595,0.0008347940499439652
1000896,2.8879090216415206,0.0018047697394203963
1000898,1.3277484070403667,0.0008297630322259999
1000900,1.7606308400833324,0.0011002885612603416
1000902,3.1688189701035183,0.001980321590495741
1000904,1.3203238032220197,0.0008251231006360079
1000906,1.3692817421523877,0.000855718872879448
1000908,2.6406828721286044,0.0016502682402074066
1000910,1.7800048652011353,0.001112396163681801
1000912,1.499619794541761,0.0009371723297177883
1000914,2.766737693825854,0.0017290449350417598
1000916,1.5843876588875812,0.0009901471552057706
1000918,1.3203238032220197,0.0008251231006360079
1000920,3.7365380951301987,0.0023351119560024707
1000922,1.456191095754308,0.0009100320005707687
1000924,1.358305317022639,0.0008488592662323092
1000926,2.8175787884710535,0.0017608175665364005
1000928,1.3671393019476048,0.0008543799763902809
1000930,2.1520064792576648,0.0013448748363247332
1000932,2.6594416530778577,0.00166199135196471
1000934,1.4670261257348909,0.0009168032437394864
1000936,1.3203238032220197,0.0008251231006360079
1000938,2.6406469021995114,0.0016502457611614707
1000940,1.7604309799873963,0.0011001636607006079
1000942,1.3203238032220197,0.0008251231006360079
1000944,3.1785215917016023,0.001986385146418744
1000946,1.3203238032220197,0.0008251231006360079
1000948,1.4404046332839902,0.000900166409395486
1000950,3.521238896270541,0.0022005628839536226
1000952,1.3203238032220197,0.0008251231006360079
1000954,1.3783315992338725,0.0008613744901736034
1000956,2.934382556399321,0.0018338129082273922
1000958,1.7353333808935747,0.0010844791682054504
1000960,1.9672073318612227,0.0012293864651217472
1000962,2.6406469021995114,0.0016502457611614707
1000964,1.369426639446381,0.0008558094249881062
1000966,1.3203238032220197,0.0008251231006360079
1000968,2.667022981300626,0.001666729226897241
1000970,1.7728947845423526,0.0011079527901815807
1000972,1.5847182171511023,0.0009903537342727175
1000974,2.9641449739569983,0.0018524126321721437
1000976,1.3404538187096557,0.0008377031516465826
1000978,1.481216736531519,0.0009256715234386472
1000980,3.619172979733472,0.002261765805848753
1000982,1.329723848679365,0.0008309975646386688
1000984,1.3288592019195098,0.0008304572123298597
1000986,3.1688189665815782,0.00198032158829474
1000988,1.326940254535062,0.0008292579854341928
1000990,1.8216632978319107,0.0011384301827732236
1000992,2.6408387487205283,0.00165036565371804
1000994,1.435938502825089,0.0008973753460191381
1000996,1.3981416634785044,0.0008737545908681756
1000998,2.732538744390894,0.0017076726450569802
1001000,2.560755631488096,0.001600318513889031
1001002,1.3203238032220197,0.0008251231006360079
1001004,2.6406469021995114,0.0016502457611614707
1001006,1.4170101057410551,0.000885546234361881
1001008,1.3203238032220197,0.0008251231006360079
